date,sise,trading
2009.10.06,8600 ,230938 
2009.10.07,8710 ,67644 
2009.10.08,8890 ,93073 
2009.10.09,9170 ,118737 
2009.10.12,9210 ,64016 
2009.10.13,9150 ,74923 
2009.10.14,9130 ,90522 
2009.10.15,9050 ,71911 
2009.10.16,8790 ,133517 
2009.10.19,8650 ,135907 
2009.10.20,8640 ,94458 
2009.10.21,8360 ,227379 
2009.10.22,8270 ,65980 
2009.10.23,8200 ,76562 
2009.10.26,8050 ,196197 
2009.10.27,8510 ,380513 
2009.10.28,8280 ,156174 
2009.10.29,8080 ,81092 
2009.10.30,7990 ,114022 
2009.11.02,7940 ,96936 
2009.11.03,8100 ,94829 
2009.11.04,8450 ,86323 
2009.11.05,8350 ,57123 
2009.11.06,8370 ,54539 
2009.11.09,8200 ,54660 
2009.11.10,8000 ,92564 
2009.11.11,8120 ,69302 
2009.11.12,8190 ,58940 
2009.11.13,8190 ,23571 
2009.11.16,8110 ,73106 
2009.11.17,8100 ,59556 
2009.11.18,8000 ,66883 
2009.11.19,7810 ,95221 
2009.11.20,7980 ,70691 
2009.11.23,7960 ,53132 
2009.11.24,7900 ,32956 
2009.11.25,8180 ,128544 
2009.11.26,8180 ,79722 
2009.11.27,8000 ,76382 
2009.11.30,8210 ,76054 
2009.12.01,8210 ,125360 
2009.12.02,8630 ,308144 
2009.12.03,8800 ,339293 
2009.12.04,8750 ,104647 
2009.12.07,9200 ,111136 
2009.12.08,9170 ,462375 
2009.12.09,9170 ,97559 
2009.12.10,9040 ,155130 
2009.12.11,8990 ,448701 
2009.12.14,8770 ,182813 
2009.12.15,8840 ,139343 
2009.12.16,8750 ,99627 
2009.12.17,9240 ,635838 
2009.12.18,9340 ,212818 
2009.12.21,9330 ,173709 
2009.12.22,9250 ,425865 
2009.12.23,9080 ,212928 
2009.12.24,9020 ,231092 
2009.12.28,8800 ,894838 
2009.12.29,8320 ,319911 
2009.12.30,8100 ,327828 
2010.01.04,8270 ,131400 
2010.01.05,8200 ,155568 
2010.01.06,8230 ,128507 
2010.01.07,8700 ,474340 
2010.01.08,8900 ,233676 
2010.01.11,9000 ,394882 
2010.01.12,9000 ,255739 
2010.01.13,9120 ,224563 
2010.01.14,9280 ,322097 
2010.01.15,9280 ,178112 
2010.01.18,9250 ,164856 
2010.01.19,9260 ,208298 
2010.01.20,8930 ,156663 
