date,sise,trading
2009.10.06,18150 ,861373 
2009.10.07,18350 ,2315453 
2009.10.08,19100 ,756097 
2009.10.09,19050 ,356694 
2009.10.12,20300 ,743216 
2009.10.13,19700 ,329066 
2009.10.14,20000 ,221628 
2009.10.15,19900 ,237615 
2009.10.16,20800 ,1581914 
2009.10.19,20700 ,336804 
2009.10.20,20050 ,414890 
2009.10.21,19900 ,359152 
2009.10.22,19900 ,365025 
2009.10.23,19700 ,221481 
2009.10.26,19750 ,651056 
2009.10.27,21200 ,1818827 
2009.10.28,21550 ,920033 
2009.10.29,21350 ,1297292 
2009.10.30,21400 ,510207 
2009.11.02,23450 ,739791 
2009.11.03,21800 ,788890 
2009.11.04,21650 ,626192 
2009.11.05,21500 ,922396 
2009.11.06,21450 ,367834 
2009.11.09,21500 ,324986 
2009.11.10,22050 ,737634 
2009.11.11,22600 ,494723 
2009.11.12,22450 ,598029 
2009.11.13,23100 ,1586718 
2009.11.16,21650 ,1258717 
2009.11.17,19900 ,1076675 
2009.11.18,19200 ,682896 
2009.11.19,17750 ,1594670 
2009.11.20,19250 ,1268277 
2009.11.23,18350 ,1122468 
2009.11.24,18100 ,402118 
2009.11.25,18200 ,233598 
2009.11.26,18000 ,325431 
2009.11.27,16100 ,544496 
2009.11.30,17350 ,462509 
2009.12.01,17750 ,295997 
2009.12.02,18200 ,453091 
2009.12.03,18350 ,212498 
2009.12.04,18550 ,238067 
2009.12.07,18500 ,378844 
2009.12.08,17900 ,319203 
2009.12.09,17950 ,306417 
2009.12.10,17550 ,421670 
2009.12.11,17850 ,372864 
2009.12.14,17700 ,238648 
2009.12.15,17600 ,228040 
2009.12.16,17500 ,284507 
2009.12.17,18000 ,628998 
2009.12.18,17550 ,340381 
2009.12.21,17100 ,468588 
2009.12.22,16750 ,309617 
2009.12.23,15850 ,1410667 
2009.12.24,15700 ,381847 
2009.12.28,14750 ,662778 
2009.12.29,15900 ,1047218 
2009.12.30,15850 ,284023 
2010.01.04,15000 ,525849 
2010.01.05,15000 ,336486 
2010.01.06,15450 ,562317 
2010.01.07,15550 ,655156 
2010.01.08,16000 ,428497 
2010.01.11,15550 ,568469 
2010.01.12,15600 ,210409 
2010.01.13,16050 ,1135218 
2010.01.14,15950 ,366088 
2010.01.15,16300 ,585266 
2010.01.18,16600 ,489479 
2010.01.19,16000 ,471060 
2010.01.20,15650 ,489858 
2010.01.21,15800 ,601994 
2010.01.22,15600 ,294114 
2010.01.25,14850 ,346830 
2010.01.26,15050 ,708595 
2010.01.27,15000 ,192953 
2010.01.28,14750 ,273900 
2010.01.29,13700 ,340617 
2010.02.01,13100 ,389629 
2010.02.02,13150 ,233709 
2010.02.03,13850 ,221989 
2010.02.04,13800 ,118129 
2010.02.05,13100 ,239163 
2010.02.08,12900 ,235177 
2010.02.09,12700 ,231151 
2010.02.10,12900 ,515904 
2010.02.11,13200 ,182697 
2010.02.12,13050 ,151916 
2010.02.16,13100 ,127646 
2010.02.17,14950 ,1554600 
2010.02.18,14100 ,1302169 
2010.02.19,13650 ,398759 
2010.02.22,13950 ,244735 
2010.02.23,14000 ,335849 
2010.02.24,14050 ,270678 
2010.02.25,13600 ,180140 
2010.02.26,13950 ,134601 
2010.03.02,14150 ,427370 
2010.03.03,14050 ,150696 
2010.03.04,14350 ,850781 
2010.03.05,14200 ,323284 
2010.03.08,14500 ,684084 
2010.03.09,14350 ,432554 
2010.03.10,14050 ,351812 
2010.03.11,14300 ,670498 
2010.03.12,14050 ,314713 
2010.03.15,13800 ,323157 
2010.03.16,13750 ,219182 
2010.03.17,13800 ,277596 
2010.03.18,13850 ,236857 
2010.03.19,14250 ,465561 
2010.03.22,14350 ,492663 
2010.03.23,14050 ,294927 
2010.03.24,14400 ,2304419 
2010.03.25,14200 ,382929 
2010.03.26,14150 ,264060 
2010.03.29,13800 ,294286 
2010.03.30,13950 ,178993 
2010.03.31,13750 ,264047 
2010.04.01,13700 ,212828 
2010.04.02,13250 ,361301 
2010.04.05,12850 ,293630 
2010.04.06,12700 ,170557 
2010.04.07,12800 ,199372 
2010.04.08,13150 ,129447 
2010.04.09,13000 ,111981 
2010.04.12,13050 ,185497 
2010.04.13,13100 ,410454 
2010.04.14,12950 ,155072 
2010.04.15,13000 ,131573 
2010.04.16,13550 ,694449 
2010.04.19,13150 ,204212 
2010.04.20,13650 ,582606 
2010.04.21,13500 ,272970 
2010.04.22,13300 ,181856 
2010.04.23,13050 ,225321 
2010.04.26,13150 ,184840 
2010.04.27,13200 ,109730 
2010.04.28,12850 ,220983 
2010.04.29,12900 ,389761 
2010.04.30,12750 ,204752 
2010.05.03,12300 ,219981 
2010.05.04,11850 ,283959 
2010.05.06,11150 ,325703 
2010.05.07,10600 ,347818 
2010.05.10,10950 ,169685 
2010.05.11,10950 ,230513 
2010.05.12,10600 ,140667 
2010.05.13,10300 ,277307 
2010.05.14,10200 ,257030 
2010.05.17,9020 ,698421 
2010.05.18,9090 ,330823 
2010.05.19,9010 ,262334 
2010.05.20,8470 ,267088 
2010.05.24,8540 ,239832 
2010.05.25,7700 ,366893 
2010.05.26,8170 ,253209 
2010.05.27,8600 ,209209 
2010.05.28,8750 ,164301 
2010.05.31,9070 ,209051 
2010.06.01,9030 ,151935 
2010.06.03,9210 ,98398 
2010.06.04,9090 ,95358 
2010.06.07,8660 ,119059 
2010.06.08,9050 ,152444 
2010.06.09,9060 ,102211 
2010.06.10,10400 ,774182 
2010.06.11,10650 ,1524430 
2010.06.14,10950 ,980586 
2010.06.15,10900 ,785167 
2010.06.16,10200 ,588788 
2010.06.17,10200 ,410203 
2010.06.18,9750 ,368067 
2010.06.21,9900 ,228436 
2010.06.22,9660 ,229867 
2010.06.23,10150 ,724977 
2010.06.24,10100 ,398696 
2010.06.25,9870 ,210823 
2010.06.28,9870 ,128094 
2010.06.29,9560 ,254861 
2010.06.30,9450 ,149745 
2010.07.01,9470 ,131242 
2010.07.02,9390 ,169865 
2010.07.05,10400 ,938972 
2010.07.06,10250 ,350370 
2010.07.07,10500 ,1095076 
2010.07.08,10650 ,288251 
2010.07.09,10250 ,279273 
2010.07.12,10250 ,193714 
2010.07.13,10050 ,224650 
2010.07.14,10400 ,363045 
2010.07.15,10250 ,436513 
2010.07.16,10050 ,307736 
2010.07.19,10000 ,136193 
2010.07.20,10400 ,278180 
2010.07.21,10600 ,872568 
2010.07.22,10400 ,453319 
2010.07.23,10550 ,363162 
2010.07.26,10650 ,632056 
2010.07.27,10550 ,194909 
2010.07.28,10550 ,249398 
2010.07.29,11100 ,769153 
2010.07.30,10600 ,691127 
2010.08.02,10500 ,362480 
2010.08.03,10300 ,373924 
2010.08.04,10250 ,181781 
2010.08.05,10450 ,262067 
2010.08.06,10200 ,331582 
2010.08.09,10350 ,310838 
2010.08.10,10800 ,799496 
2010.08.11,10500 ,361948 
2010.08.12,10200 ,190482 
2010.08.13,10300 ,196109 
2010.08.16,10250 ,111528 
2010.08.17,10250 ,256708 
2010.08.18,10150 ,241197 
2010.08.19,9600 ,677899 
2010.08.20,9500 ,243421 
2010.08.23,9400 ,138936 
2010.08.24,9100 ,455062 
2010.08.25,9100 ,129708 
2010.08.26,9280 ,349912 
2010.08.27,9190 ,123541 
2010.08.30,9220 ,138164 
2010.08.31,9000 ,146531 
2010.09.01,9140 ,223759 
2010.09.02,9300 ,121986 
2010.09.03,9320 ,113724 
2010.09.06,9310 ,125842 
2010.09.07,9160 ,131778 
2010.09.08,9030 ,108222 
2010.09.09,9010 ,92347 
2010.09.10,9100 ,109748 
2010.09.13,9150 ,125088 
2010.09.14,9110 ,140168 
2010.09.15,9640 ,1269278 
2010.09.16,9300 ,377484 
2010.09.17,9240 ,263774 
2010.09.20,9130 ,169100 
2010.09.24,9170 ,156417 
2010.09.27,9120 ,253010 
2010.09.28,9210 ,647151 
2010.09.29,9110 ,297961 
2010.09.30,9120 ,388168 
2010.10.01,9170 ,602437 
2010.10.04,9090 ,502592 
2010.10.05,8790 ,547317 
2010.10.06,8470 ,749845 
2010.10.07,8330 ,450147 
2010.10.08,8420 ,454615 
2010.10.11,8450 ,461086 
2010.10.12,8300 ,272158 
2010.10.13,9220 ,3371261 
2010.10.14,9590 ,6386241 
2010.10.15,9450 ,2691854 
2010.10.18,9500 ,2692546 
2010.10.19,9670 ,1872395 
2010.10.20,9930 ,3247770 
2010.10.21,9670 ,1224574 
2010.10.22,9470 ,1315218 
2010.10.25,9320 ,1130005 
2010.10.26,9290 ,628345 
2010.10.27,9460 ,891696 
2010.10.28,9290 ,477981 
2010.10.29,9060 ,980865 
2010.11.01,8900 ,723430 
2010.11.02,8850 ,2106480 
2010.11.03,8750 ,1123783 
2010.11.04,8520 ,816980 
2010.11.05,8520 ,412802 
2010.11.08,8640 ,278085 
2010.11.09,8460 ,395573 
2010.11.10,8220 ,906458 
2010.11.11,7930 ,582560 
2010.11.12,7550 ,629828 
2010.11.15,6580 ,1645753 
2010.11.16,6620 ,530209 
2010.11.17,6860 ,468827 
2010.11.18,6810 ,207574 
2010.11.19,7030 ,991981 
2010.11.22,6950 ,208247 
2010.11.23,6700 ,256574 
2010.11.24,6390 ,449550 
2010.11.25,6530 ,232661 
2010.11.26,6210 ,262289 
2010.11.29,6230 ,225087 
2010.11.30,6390 ,591940 
2010.12.01,6420 ,146785 
2010.12.02,6410 ,151565 
2010.12.03,6280 ,165878 
2010.12.06,6350 ,106775 
2010.12.07,6460 ,164844 
2010.12.08,6280 ,146680 
2010.12.09,6280 ,109413 
2010.12.10,6360 ,212192 
2010.12.13,6430 ,185804 
2010.12.14,6680 ,787123 
2010.12.15,6580 ,255079 
2010.12.16,6750 ,458590 
2010.12.17,6680 ,253782 
2010.12.20,6430 ,316716 
