date,sise,trading
2009.10.06,3140 ,21141 
2009.10.07,3130 ,15708 
2009.10.08,3165 ,20866 
2009.10.09,3260 ,21807 
2009.10.12,3280 ,6113 
2009.10.13,3230 ,12879 
2009.10.14,3260 ,12135 
2009.10.15,3260 ,9763 
2009.10.16,3230 ,12349 
2009.10.19,3200 ,16881 
2009.10.20,3200 ,18611 
2009.10.21,3305 ,129923 
2009.10.22,3330 ,73830 
2009.10.23,3335 ,15123 
2009.10.26,3200 ,34418 
2009.10.27,3115 ,33424 
2009.10.28,3175 ,29503 
2009.10.29,3085 ,30982 
2009.10.30,3100 ,23531 
2009.11.02,3050 ,14088 
2009.11.03,3255 ,28184 
2009.11.04,3230 ,12931 
2009.11.05,3140 ,17237 
2009.11.06,3185 ,42442 
2009.11.09,3660 ,198431 
2009.11.10,3445 ,273643 
2009.11.11,3485 ,111714 
2009.11.12,3700 ,578544 
2009.11.13,4255 ,1125434 
2009.11.16,4605 ,2236875 
2009.11.17,4600 ,933591 
2009.11.18,4400 ,1123237 
2009.11.19,4300 ,537722 
2009.11.20,4945 ,1545624 
2009.11.23,5160 ,2275203 
2009.11.24,5400 ,1420308 
2009.11.25,5000 ,1078463 
2009.11.26,4850 ,694897 
2009.11.27,4500 ,398196 
2009.11.30,4560 ,231792 
2009.12.01,4940 ,625642 
2009.12.02,4925 ,281100 
2009.12.03,4700 ,273197 
2009.12.04,4750 ,100382 
2009.12.07,4640 ,122322 
2009.12.08,4790 ,436689 
2009.12.09,4715 ,253935 
2009.12.10,4750 ,104431 
2009.12.11,4790 ,74783 
2009.12.14,4790 ,38155 
2009.12.15,4715 ,108109 
2009.12.16,4845 ,211994 
2009.12.17,4740 ,58166 
2009.12.18,4540 ,68451 
2009.12.21,4910 ,144935 
2009.12.22,5200 ,424428 
2009.12.23,5360 ,486908 
2009.12.24,5420 ,314845 
2009.12.28,5270 ,112478 
2009.12.29,5470 ,176969 
2009.12.30,5830 ,466875 
2010.01.04,6300 ,271115 
2010.01.05,6320 ,94476 
2010.01.06,6210 ,153502 
2010.01.07,7130 ,598659 
2010.01.08,7100 ,236446 
2010.01.11,7090 ,421367 
2010.01.12,6500 ,62690 
2010.01.13,6450 ,78639 
2010.01.14,6000 ,114075 
2010.01.15,5950 ,97967 
2010.01.18,5670 ,120930 
2010.01.19,5680 ,79607 
2010.01.20,4860 ,339323 
2010.01.21,4950 ,122586 
2010.01.22,4820 ,151028 
2010.01.25,4550 ,96812 
2010.01.26,4695 ,502564 
2010.01.27,4520 ,206267 
2010.01.28,4280 ,293586 
2010.01.29,4360 ,286049 
2010.02.01,4390 ,85820 
2010.02.02,4385 ,138148 
2010.02.03,4390 ,207927 
2010.02.04,4255 ,107225 
2010.02.05,3650 ,1236100 
2010.02.08,3660 ,186932 
2010.02.09,3700 ,217965 
2010.02.10,3720 ,210840 
2010.02.11,3790 ,110633 
